IdP,Nazwa,X,Y,Szkoła,Praca,Zakupy/Centra handlowe,Rozrywka(np. boiska),Restauracje(jedzenie),Spotkania towarzyskie,Lekarz(zdrowie),Kultura,Osiedle
1,Auchan,51.05206465086713,16.97405614179184,0,1,0,1,0,0,0,0,
2,Adamczewskich,,,0,1,0,1,0,0,0,0,
3,Adamieckiego,,,0,1,0,1,0,0,0,0,
4,Aleja Architektów,,,0,1,0,0,0,0,0,0,
5,Aleja Pracy,51.091560310940835,16.986017654489636,0,1,0,1,0,0,0,0,
6,Aleja Wędrowców,,,0,1,0,1,0,0,0,0,
7,Arabska,,,0,0,1,1,0,1,0,0,
8,Arachidowa,,,0,1,1,1,1,1,0,0,
9,Arena,51.094595429201334,17.02684334092273,0,1,0,0,0,0,0,0,
10,Arkady (Capitol),51.101311713695495,17.02920152939193,0,1,0,0,0,0,0,0,
11,Armii Krajowej,51.08721507621936,17.068804679197427,0,0,1,0,0,0,0,0,
12,Armii Krajowej (Bogedaina),51.08544610886502,17.065769946395573,0,0,0,0,0,0,0,0,
13,Asfaltowa (Szkoła),,,1,0,1,0,0,0,0,0,
14,Awicenny,51.08779201848536,16.952600226821392,0,0,1,1,0,0,0,0,
15,Awicenny (Poczta Polska),,,0,0,1,1,0,0,0,0,
16,Awicenny (Stacja Kolejowa),,,0,0,1,1,1,0,0,0,
17,Azaliowa,51.16417302505197,17.111936985264645,0,0,1,0,1,0,0,0,
18,Bardzka (Cmentarz),,,0,1,0,1,1,0,0,0,
19,Bartoszowice,51.10254703482137,17.116068154482406,0,1,0,0,1,0,0,0,
20,Bierutowska (Ośrodek Zdrowia),,,0,1,0,0,1,0,0,0,
21,Bierutowska (Wiadukt),,,0,1,0,0,1,0,0,0,
22,Bieńkowice,,,0,0,0,0,1,1,0,0,
23,Blacharska,51.082100800137525,16.989602228016498,0,0,0,0,1,1,0,0,
24,Blizanowice,,,0,0,0,0,1,1,0,0,
25,Brochów,51.05885968440409,17.08694348666342,0,1,0,0,0,0,0,0,
26,Brochów (Stacja Kolejowa),,,0,1,0,0,0,0,0,0,
27,Brzezina (Pętla),,,0,1,0,0,0,0,0,0,
28,Babimojska,,,0,1,0,0,0,0,0,0,
29,Bacciarellego,,,0,1,1,0,0,0,0,0,
30,Bagatela,,,0,1,1,1,0,0,0,0,
31,Bajana,51.13067573129262,16.96721622051298,0,1,1,1,0,0,0,0,
32,Bardzka,,,0,1,0,1,0,0,0,0,
33,Bałtycka,51.137405955668434,17.02998278896388,0,1,0,1,0,0,0,0,
34,Bałtycka (Szkoła),,,0,1,0,0,0,0,0,0,
35,Berenta,,,0,1,0,0,1,1,0,0,
36,Bezpieczna,,,0,1,0,0,1,1,0,0,
37,Białowieska,51.12724015910812,16.992562842510853,0,1,0,0,1,1,0,0,
38,Białych Goździków,,,0,1,0,0,1,1,0,0,
39,Biegasa,,,0,1,0,0,0,1,0,0,
40,Bielany Wrocławskie - Boczna,51.03760776683395,16.968370052443074,0,1,1,1,1,1,0,0,
41,Bielany Wrocławskie - Kościół,,,0,1,1,1,1,1,0,0,
42,Bielany Wrocławskie - Kwiatowa,,,0,1,1,1,1,1,0,0,
43,Bielany Wrocławskie - Makro,,,0,1,1,1,1,1,0,0,
44,Bielany Wrocławskie - Pkp,51.03787415866647,16.97651083623315,0,1,1,1,1,1,0,0,
45,Bielany Wrocławskie - Skrzyżowanie,,,0,1,1,1,1,1,0,0,
46,Bielawa,,,0,0,0,0,0,0,0,0,
47,Bierdzany,,,0,0,0,0,0,0,0,0,
48,Bierutowska,,,0,1,0,0,0,0,0,0,
49,Bierutowska 65,,,0,1,0,1,0,0,0,0,
50,Bierutowska 75,,,0,1,0,1,0,0,0,0,
51,Bierzyce,,,0,1,0,1,0,0,0,0,
52,Bierzyce - Wieś,,,0,1,0,1,0,0,0,0,
53,Biestrzyków - Wrocławska,,,0,1,0,1,0,0,0,0,
54,Biskupice Podg. Dsc Poland/Dong Yang,,,0,1,0,1,0,0,0,0,
55,Biskupice Podg. Lg Chem,51.01598115789774,16.886685994490872,0,1,0,1,0,0,0,0,
56,Biskupice Podg. Lg Electronics,,,0,1,1,0,0,0,0,0,
57,Biskupice Podg. Lg Energy Solution Wr. I,,,0,1,1,0,0,0,0,0,
58,Biskupice Podg. Lg Innotek,,,0,1,1,0,0,0,0,0,
59,Blizanowicka,,,0,1,1,0,0,0,0,0,
60,Bociania,,,0,1,1,0,0,0,0,0,
61,Bojanowska,,,0,1,1,0,1,1,0,0,
62,Borowa - Skrzy.,,,0,1,1,0,1,1,0,0,
63,Borowa - Stacja Kolejowa,,,0,1,1,0,1,1,0,0,
64,Borowa - Szkoła,,,0,1,0,0,1,1,0,0,
65,Borowska (Aquapark),51.088367863617144,17.034442654627686,0,1,0,1,1,1,0,0,
66,Borowska (Szpital),51.07499904408411,17.03276236038542,0,0,0,0,1,1,1,0,
67,Braterska,,,0,0,0,0,0,0,0,0,
68,Brochowska,,,0,0,0,0,0,0,0,0,
69,Brodzka,,,0,0,0,0,0,0,0,0,
70,Broniewskiego,,,0,0,0,0,0,0,0,0,
71,Brzezia Łąka - Główna,,,0,0,0,0,0,0,0,0,
72,Brzezia Łąka - Główna Pętla,,,0,0,0,0,0,0,0,0,
73,Brzezia Łąka - Wrocławska,51.12341320762174,17.24565281976186,0,0,0,0,0,0,0,0,
74,Brzezia Łąka - Cmentarz,,,0,0,0,0,0,0,0,0,
75,Brzezia Łąka - Skrzy. Główna,,,0,0,0,0,0,0,0,0,
76,Brzezia Łąka - Skrzy. Orzechowa,,,0,0,0,0,0,0,0,0,
77,Brzezia Łąka - Skrzy. Sportowa,,,0,0,0,0,0,0,0,0,
78,Brzezina - Biedronka,51.18717107239037,16.833044110412203,0,1,1,1,0,0,0,0,
79,Brzezina - Kościół,,,0,1,1,0,0,0,0,0,
80,Brzezina - Osiedle,,,0,1,1,0,1,1,0,0,
81,Brzezina - Zacisze,,,0,1,1,0,1,1,0,0,
82,Brzezina - Ul. Chrobrego,,,0,0,1,0,0,0,0,0,
83,Brzezinka Średzka - Pkp,51.21937122051414,16.8368920836159,0,0,1,0,0,0,0,0,
84,Brzezinka Średzka - Ul. Główna,,,0,0,1,0,0,0,0,0,
85,Brzezinka Średzka - Ul. Kolejowa,,,0,0,0,0,0,0,0,0,
86,Brzezinka Średzka - Ul. Parkowa,,,0,0,0,1,0,0,0,0,
87,Brzezińska,,,0,0,0,1,0,0,0,0,
88,Brücknera,51.139580773126326,17.082045173795425,0,1,0,1,0,0,0,0,
89,Budziszyńska,,,0,1,0,1,1,1,0,0,
90,Budziwojowice,,,0,1,0,1,1,1,0,0,
91,Buforowa-Rondo,,,0,1,0,1,1,1,0,0,
92,Bujwida,51.11349209551047,17.067194488388004,0,1,0,1,1,1,0,0,
93,Bukowina,,,0,1,0,1,1,1,0,0,
94,Bukowina - Skrzy.,,,0,1,0,0,1,1,0,0,
