AREA,Stops
Leśnica,51
Psie Pole-Zawidawie,41
Karłowice-Różanka,36
Jerzmanowo-Jarnołtów-Strachowice-Osiniec,25
Przedmieście Oławskie,20
Pilczyce-Kozanów-Popowice Płn.,20
Krzyki-Partynice,20
Biskupin-Sępolno-Dąbie-Bartoszowice,19
Szczepin,18
Księże,18
Stare Miasto,16
Maślice,16
Huby,16
Gądów-Popowice Płd.,16
Grabiszyn-Grabiszynek,16
Pracze Odrzańskie,15
Powstańców Śląskich,14
Ołbin,14
Kiełczów,14
Borek,14
Strachocin-Swojczyce-Wojnów,13
Przedmieście Świdnickie,13
Oporów,13
Muchobór Mały,12
Kowale,12
Polanowice-Poświętne-Ligota,11
Osobowice-Rędzin,11
Klecina,11
Nowy Dwór,10
Muchobór Wielki,10
Zacisze-Zalesie-Szczytniki,9
Wilczyce,9
Tarnogaj,9
Smolec,9
Lipa Piotrowska,9
Jagodno,9
Gajowice,9
Łozina,8
Widawa,8
Plac Grunwaldzki,8
Ołtaszyn,8
Brochów,8
Żórawina,7
Wysoka,7
Pawłowice,7
Długołęka,7
Brzezia Łąka,7
Bielany wrocławskie,7
Żerniki,6
Wojszyce,6
Raków,6
Nadodrze,6
Lutynia,6
Kamień,6
Iwiny,6
Gaj,6
Domaszczyn,6
Brzezina,6
Szymanów,5
Szczodre,5
Sołtysowice,5
Biskupice Podgórne,5
