AREA,Stops
Leśnica,50
Psie Pole-Zawidawie,41
Karłowice-Różanka,36
Jerzmanowo-Jarnołtów-Strachowice-Osiniec,24
Krzyki-Partynice,21
Przedmieście Oławskie,20
Pilczyce-Kozanów-Popowice Płn.,20
Maślice,20
Szczepin,19
Biskupin-Sępolno-Dąbie-Bartoszowice,19
Księże,18
Gądów-Popowice Płd.,17
Stare Miasto,16
Huby,16
Grabiszyn-Grabiszynek,16
Pracze Odrzańskie,15
Strachocin-Swojczyce-Wojnów,14
Powstańców Śląskich,14
Ołbin,14
Klecina,14
Kiełczów,14
Borek,14
Przedmieście Świdnickie,13
Ołtaszyn,13
Oporów,13
Kowale,13
Muchobór Mały,12
Polanowice-Poświętne-Ligota,11
Gajowice,11
Osobowice-Rędzin,10
Nowy Dwór,10
Muchobór Wielki,10
Jagodno,10
Zacisze-Zalesie-Szczytniki,9
Wilczyce,9
Tarnogaj,9
Smolec,9
Lipa Piotrowska,9
Łozina,8
Wysoka,8
Widawa,8
Plac Grunwaldzki,8
Gaj,8
Brochów,8
Pawłowice,7
Długołęka,7
Brzezia Łąka,7
Bielany wrocławskie,7
Żórawina,6
Żerniki,6
Wojszyce,6
Raków,6
Nadodrze,6
Lutynia,6
Kamień,6
Iwiny,6
Domaszczyn,6
Brzezina,6
Szymanów,5
Szczodre,5
Sołtysowice,5
Biskupice Podgórne,5
