Nazwa,X,Y,Szkola,Praca,Zakupy,Rozrywka,Restauracje,Spotkania,Zdrowie,Kultura,Osiedle
Auchan,51.05206465086713,16.97405614179184,0,1,0,1,0,0,0,0,
Adamczewskich,,,0,1,0,1,0,0,0,0,
Adamieckiego,,,0,1,0,1,0,0,0,0,
Aleja Architektów,,,0,1,0,0,0,0,0,0,
Aleja Pracy,51.091560310940835,16.986017654489636,0,1,0,1,0,0,0,0,
Aleja Wędrowców,,,0,1,0,1,0,0,0,0,
Arabska,,,0,0,1,1,0,1,0,0,
Arachidowa,,,0,1,1,1,1,1,0,0,
Arena,51.094595429201334,17.02684334092273,0,1,0,0,0,0,0,0,
Arkady (Capitol),51.101311713695495,17.02920152939193,0,1,0,0,0,0,0,0,
Armii Krajowej,51.08721507621936,17.068804679197427,0,0,1,0,0,0,0,0,
Armii Krajowej (Bogedaina),51.08544610886502,17.065769946395573,0,0,0,0,0,0,0,0,
Asfaltowa (Szkoła),,,1,0,1,0,0,0,0,0,
Awicenny,51.08779201848536,16.952600226821392,0,0,1,1,0,0,0,0,
Awicenny (Poczta Polska),,,0,0,1,1,0,0,0,0,
Awicenny (Stacja Kolejowa),,,0,0,1,1,1,0,0,0,
Azaliowa,51.16417302505197,17.111936985264645,0,0,1,0,1,0,0,0,
Bardzka (Cmentarz),,,0,1,0,1,1,0,0,0,
Bartoszowice,51.10254703482137,17.116068154482406,0,1,0,0,1,0,0,0,
Bierutowska (Ośrodek Zdrowia),,,0,1,0,0,1,0,0,0,
Bierutowska (Wiadukt),,,0,1,0,0,1,0,0,0,
Bieńkowice,,,0,0,0,0,1,1,0,0,
Blacharska,51.082100800137525,16.989602228016498,0,0,0,0,1,1,0,0,
Blizanowice,,,0,0,0,0,1,1,0,0,
Brochów,51.05885968440409,17.08694348666342,0,1,0,0,0,0,0,0,
Brochów (Stacja Kolejowa),,,0,1,0,0,0,0,0,0,
Brzezina (Pętla),,,0,1,0,0,0,0,0,0,
Babimojska,,,0,1,0,0,0,0,0,0,
Bacciarellego,,,0,1,1,0,0,0,0,0,
